 Total energy of the cell (au):  -15424.1527056905     
 Total energy of the cell (au):  -15424.2194800905     
 Total energy of the cell (au):  -15424.1883455590     
 Total energy of the cell (au):  -15424.1620539498     
 Total energy of the cell (au):  -15424.1960624047     
 Total energy of the cell (au):  -15424.1690314617     
 Total energy of the cell (au):  -15424.1743185092     
 Total energy of the cell (au):  -15424.0337141230     
 Total energy of the cell (au):  -15424.1708775809     
 Total energy of the cell (au):  -15424.1948861156     
 Total energy of the cell (au):  -15424.1771379442     
 Total energy of the cell (au):  -15424.2080476429     
 Total energy of the cell (au):  -15424.1603868057     
 Total energy of the cell (au):  -15424.1790632283     
 Total energy of the cell (au):  -15424.1528940980     
 Total energy of the cell (au):  -15424.1660243901     
 Total energy of the cell (au):  -15424.1609038466     
 Total energy of the cell (au):  -15424.1532297799     
 Total energy of the cell (au):  -15424.1545173531     
 Total energy of the cell (au):  -15424.1881045245     
 Total energy of the cell (au):  -15424.2229976335     
 Total energy of the cell (au):  -15424.2458403590     
 Total energy of the cell (au):  -15424.1917542461     
 Total energy of the cell (au):  -15424.2188437017     
 Total energy of the cell (au):  -15424.2355341311     
 Total energy of the cell (au):  -15424.2156775282     
 Total energy of the cell (au):  -15424.2693977167     
 Total energy of the cell (au):  -15424.2869757718     
 Total energy of the cell (au):  -15424.2793993357     
 Total energy of the cell (au):  -15424.2669070029     
 Total energy of the cell (au):  -15424.2405465606     
 Total energy of the cell (au):  -15424.1862045910     
 Total energy of the cell (au):  -15424.1948650517     
 Total energy of the cell (au):  -15424.1663168626     
 Total energy of the cell (au):  -15424.2029336828     
 Total energy of the cell (au):  -15424.1936248646     
 Total energy of the cell (au):  -15424.1979406535     
 Total energy of the cell (au):  -15424.1920291652     
 Total energy of the cell (au):  -15424.2126495507     
 Total energy of the cell (au):  -15424.2014507096     
 Total energy of the cell (au):  -15424.2495936416     
 Total energy of the cell (au):  -15424.1853606115     
 Total energy of the cell (au):  -15424.2491745310     
 Total energy of the cell (au):  -15424.2218800809     
 Total energy of the cell (au):  -15424.2444488930     
 Total energy of the cell (au):  -15424.2098984434     
 Total energy of the cell (au):  -15424.2143238299     
 Total energy of the cell (au):  -15424.1840313644     
 Total energy of the cell (au):  -15424.1905088235     
 Total energy of the cell (au):  -15424.1580570440     
 Total energy of the cell (au):  -15424.1748556228     
 Total energy of the cell (au):  -15424.1717953252     
 Total energy of the cell (au):  -15424.1978804770     
 Total energy of the cell (au):  -15424.2528249914     
 Total energy of the cell (au):  -15424.2287007542     
 Total energy of the cell (au):  -15424.2273473896     
 Total energy of the cell (au):  -15424.2722067029     
 Total energy of the cell (au):  -15424.1320806115     
 Total energy of the cell (au):  -15424.0784608105     
 Total energy of the cell (au):  -15424.1222604632     
 Total energy of the cell (au):  -15424.0036460572     
 Total energy of the cell (au):  -15424.0538590954     
 Total energy of the cell (au):  -15424.0511606761     
 Total energy of the cell (au):  -15423.9979781102     
 Total energy of the cell (au):  -15424.0786167094     
 Total energy of the cell (au):  -15424.1542560648     
 Total energy of the cell (au):  -15424.1706416357     
 Total energy of the cell (au):  -15423.9719390055     
 Total energy of the cell (au):  -15424.1060754733     
 Total energy of the cell (au):  -15424.0588944188     
 Total energy of the cell (au):  -15424.1248883483     
 Total energy of the cell (au):  -15424.0126131076     
 Total energy of the cell (au):  -15424.0426297597     
 Total energy of the cell (au):  -15424.1669686561     
 Total energy of the cell (au):  -15424.1261831701     
 Total energy of the cell (au):  -15424.0994218816     
 Total energy of the cell (au):  -15424.1778972953     
 Total energy of the cell (au):  -15424.1326564084     
 Total energy of the cell (au):  -15424.1541285947     
 Total energy of the cell (au):  -15424.1882810148     
 Total energy of the cell (au):  -15424.2131974591     
